ip,nb_www,nb_com,nb_dslash,http_in_path,punycode,port,tld_in_path,tld_in_subdomain,abnormal_subdomain,nb_subdomains,prefix_suffix,random_domain,shortening_service,path_extension,nb_redirection,nb_external_redirection,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,domain_in_brand,brand_in_subdomain,brand_in_path,suspecious_tld,statistical_report,nb_hyperlinks,ratio_intHyperlinks,ratio_extHyperlinks,ratio_nullHyperlinks,nb_extCSS,ratio_intRedirection,ratio_extRedirection,ratio_intErrors,ratio_extErrors,login_form,external_favicon,links_in_tags,submit_email,ratio_intMedia,ratio_extMedia,sfh,iframe,popup_window,safe_anchor,onmouseover,right_clic,empty_title,domain_in_title,domain_with_copyright,whois_registered_domain,domain_registration_length,domain_age,web_traffic,dns_record,google_index,page_rank,domain_length,has_special_characters,digits_in_domain,has_https,digits_count,status
0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,8,8,0,10,10,0,9.0,9.0,0.0,0,1,0,0,0,0,14,0.071428571,0.928571429,0,0,0,0.846153846,0,0.615384615,0,1,0.0,0,0.0,0.0,0,0,0,14.28571429,0,0,0,1,0,0,374,7295,0,0,1,5,32,0,3,1,3,0
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,10,10,0,20,20,0,15.0,15.0,0.0,0,0,0,0,0,0,3,1.0,0.0,0,0,0,0.0,0,0.0,0,0,100.0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,261,2295,83378,0,1,5,43,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,5,5,0,11,11,0,8.0,8.0,0.0,0,0,0,0,0,0,8,1.0,0.0,0,0,0,0.0,0,0.0,0,0,100.0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,124,1336,20989,0,1,6,29,0,1,1,1,0
0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,5,0,3,4,3,7,7,5,4.8,5.333333333,4.0,1,0,0,0,0,0,103,0.932038835,0.067961165,0,1,0,0.285714286,0,0.0,0,1,81.81818182,0,100.0,0.0,0,0,0,0.0,0,0,0,1,1,0,342,7328,869662,1,1,0,30,0,2,0,2,0
1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,13,7,1,2,1,10,7,10,5.615384615,4.666666667,5.9,0,0,0,0,0,0,38,0.789473684,0.210526316,0,1,0,0.5,0,0.0,0,1,66.66666667,0,100.0,0.0,0,0,0,0.0,0,0,0,1,0,0,175,190,0,0,1,0,28,0,0,0,45,0
0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,6,0,3,13,3,14,13,14,7.666666667,13.0,6.6,1,0,0,0,0,0,33,0.878787879,0.121212121,0,0,0,0.0,0,0.0,0,1,81.81818182,0,100.0,0.0,0,0,0,100.0,0,0,0,1,1,0,283,82,0,0,1,0,28,0,0,1,3,0
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,4,12,4,12,12,4,6.666666667,12.0,4.0,0,0,0,0,0,0,1,1.0,0.0,0,0,0,0.0,0,0.0,0,0,100.0,0,0.0,0.0,0,0,0,0.0,0,0,1,1,0,0,109,3544,0,0,1,1,24,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,3,3,3,0,22,22,0,12.5,12.5,0.0,0,0,0,0,0,0,79,0.936708861,0.063291139,0,1,0,0.0,0,0.0,0,1,75.0,0,100.0,0.0,0,0,0,0.0,0,0,0,1,0,1,0,2286,0,0,0,1,37,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,6,3,2,3,2,4,4,4,3.0,3.5,2.75,0,1,0,0,0,0,651,0.955453149,0.044546851,0,1,0,0.103448276,0,0.034482759,0,1,88.76404494,0,100.0,0.0,0,0,0,80.95238095,0,0,0,0,1,1,0,9336,403988,0,0,3,22,0,0,0,0,1
0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,13,2,1,6,1,11,6,11,5.615384615,6.0,5.583333333,0,0,0,0,0,0,140,0.771428571,0.228571429,0,0,0,0.625,0,0.21875,0,0,53.33333333,0,50.0,50.0,0,0,0,4.0,0,0,0,1,0,0,882,3501,3551602,0,0,1,18,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,3,3,3,0,7,7,0,5.0,5.0,0.0,0,0,0,0,0,0,66,0.833333333,0.166666667,0,0,0,0.272727273,0,0.0,0,0,100.0,0,90.0,10.0,0,0,0,0.0,0,0,0,0,1,0,225,6350,0,0,0,3,22,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,5,0,5,5,0,5.0,5.0,0.0,0,0,0,0,0,0,62,0.870967742,0.129032258,0,1,0,0.0,0,0.25,0,1,84.21052632,0,0.0,0.0,0,0,0,50.0,0,0,0,1,0,0,0,7640,3012018,0,0,3,17,0,0,1,0,1
0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,10,6,2,3,2,7,5,7,4.6,4.0,4.75,0,0,0,0,0,0,167,0.71257485,0.28742515,0,0,0,0.020833333,0,0.0,0,1,76.5625,0,100.0,0.0,0,0,0,40.0,0,0,0,0,0,0,1486,8375,31104,0,1,5,21,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,11,4,1,3,1,12,9,12,5.0,6.0,4.777777778,0,0,0,0,0,0,3,0.333333333,0.666666667,0,0,0,0.5,0,0.0,0,0,0.0,0,0.0,100.0,0,0,0,0.0,0,0,0,1,1,0,260,7409,4044493,0,0,2,25,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0,2,1,0,1,0,1,0,14,3,1,2,1,42,10,42,7.214285714,6.333333333,7.454545455,0,0,0,0,0,0,26,0.115384615,0.884615385,0,0,0,0.0,0,0.086956522,0,1,7.692307692,0,0.0,0.0,0,0,0,0.0,0,0,0,1,0,0,382,8018,5178465,0,1,4,34,0,4,1,7,0
1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,41,2,5,2,38,6,38,12.33333333,5.5,14.28571429,0,0,0,0,0,0,9,0.0,1.0,0,1,0,0.0,0,0.0,0,1,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,0,0,271,7764,32,0,0,5,25,0,0,1,6,0
0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,3,3,3,0,8,8,0,5.333333333,5.333333333,0.0,0,0,0,0,0,0,112,0.9375,0.0625,0,0,0,0.428571429,0,0.0,0,1,62.5,0,100.0,0.0,0,0,0,66.66666667,0,0,0,1,1,0,48,5065,3482258,0,0,3,31,0,0,1,0,1
0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,1,0,6,1,3,12,3,12,12,7,5.833333333,12.0,4.6,2,0,0,0,0,0,4,1.0,0.0,0,0,0,0.0,0,0.0,0,0,100.0,0,0.0,0.0,0,0,0,100.0,0,0,0,1,0,0,318,2604,0,0,1,0,24,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,8,1,1,5,1,10,9,10,5.75,7.0,5.333333333,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,1,1,1,0,0,-1,40917,0,1,5,27,0,0,0,12,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,7,14,7,14,14,7,10.5,14.0,7.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,1,1,0,0,1000,-1,0,0,1,0,25,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,4,3,3,0,9,9,0,6.333333333,6.333333333,0.0,0,0,0,0,0,0,57,0.877192982,0.122807018,0,0,0,0.571428571,0,0.0,1,0,100.0,0,100.0,0.0,0,0,0,62.5,0,0,0,0,1,0,0,-1,6767785,0,0,3,33,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,4,4,10,4,12,10,12,8.0,10.0,7.333333333,0,0,0,0,0,0,16,0.125,0.875,0,1,0,0.214285714,0,0.642857143,1,1,0.0,0,0.0,100.0,0,0,0,25.0,0,0,0,1,1,0,33,1794,0,0,1,0,22,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,2,1,4,4,0,5,5,0,4.5,4.5,0.0,0,0,0,0,1,0,27,1.0,0.0,0,0,0,0.0,0,0.0,0,0,100.0,0,100.0,0.0,0,0,0,100.0,0,0,0,1,1,0,359,5,0,0,1,0,22,0,0,0,0,0
